"gene_id","connectivity","gene_name","is_nc","module","kTotal","kWithin","log2FC","pval","is_deg"
"ENSG00000271130",0.0763466824890447,"IGHV3OR16-8",FALSE,6,36.0391010191558,29.975049160699,-0.643153509779325,0.0259119588790863,FALSE
"ENSG00000211653",0.0751021566807307,"IGLV1-40",FALSE,6,35.4498697588632,29.3117223037369,-0.946313774665026,0.00746463598044731,FALSE
"ENSG00000271569",0.0745901043527,"IGKV1OR2-6",FALSE,6,44.6915295951442,29.3889577743934,-1.0561864564982,0.00213383638484032,TRUE
"ENSG00000223931",0.0743253339357959,"AC142381",FALSE,6,40.5442534485051,31.4089856749125,-0.656737118124735,0.03232087459363,FALSE
"ENSG00000253545",0.0738024806453689,"IGHV3-52",FALSE,6,47.4740284006404,28.1568542591176,-0.777204008262856,0.0053197313386955,FALSE
"ENSG00000211664",0.0737046032503371,"IGLV2-18",FALSE,6,45.8693825281532,26.6485371698798,-1.73844875438253,7.5770711812779e-07,TRUE
"ENSG00000211970",0.0736142940582294,"IGHV4-61",FALSE,6,38.2227083044785,29.9579623479723,-1.00487821557869,0.00501027897774168,TRUE
"ENSG00000211976",0.0734716161361427,"IGHV3-73",FALSE,6,37.4607404358122,27.61931221772,-1.01563177960246,0.0041803638639735,TRUE
"ENSG00000211640",0.0714877322477829,"IGLV6-57",FALSE,6,31.5509751199938,27.3655365649472,-1.00009469018579,0.00733426541665648,TRUE
"ENSG00000211890",0.0710733760165004,"IGHA2",FALSE,6,46.3697205481685,21.8169686929307,-3.02273294184315,7.45354474348196e-12,TRUE
"ENSG00000167077",0.0709622083280591,"MEI1",FALSE,6,63.1813688687059,39.0965111739261,-0.066286782755624,0.687542372557784,FALSE
"ENSG00000211955",0.0708658116796598,"IGHV3-33",FALSE,6,38.6542316623763,32.9760423668646,-0.536216302949335,0.180753837467899,FALSE
"ENSG00000240041",0.0708048573430123,"IGHJ4",FALSE,6,37.2709516558954,30.4271993127663,-0.350665207031913,0.222321372868453,FALSE
"ENSG00000211663",0.0706474182649685,"IGLV3-19",FALSE,6,37.5770139508474,31.4992548748808,-0.671776802926659,0.0656986858932189,FALSE
"ENSG00000211965",0.0682709986783458,"IGHV3-49",FALSE,6,43.8715167188216,27.8475797564725,-1.15915560121081,0.00217165949716478,TRUE
"ENSG00000211899",0.0680744256252562,"IGHM",FALSE,6,39.0996523796958,32.5265446397651,-1.17051308733575,0.000706545008490411,TRUE
"ENSG00000244116",0.067559464767525,"IGKV2-28",FALSE,6,34.5103269443345,27.8899144021665,-0.878610364306341,0.0193397246545596,FALSE
"ENSG00000211956",0.0672584599173541,"IGHV4-34",FALSE,6,50.7884057292968,36.4818825185739,-0.190017339316567,0.583659787333123,FALSE
"ENSG00000259680",0.066585318259171,"AC136428",FALSE,6,35.5251766962522,27.4124456294184,-0.833730842637092,0.0114234804302863,FALSE
"ENSG00000211662",0.0635096999068719,"IGLV3-21",FALSE,6,30.227186208355,24.9611425522413,-0.876385301744337,0.0149438700353554,FALSE
"ENSG00000222037",0.0632139368906195,"IGLC6",FALSE,6,37.4651372176941,26.1052657830168,-0.520381830652675,0.0323369505820412,FALSE
